id,sheet,source,description,city,province_state,materialOpCost,laborOpCost,equipmentOpCost
230001,materials_glazing,placeholder,"Windows, aluminum, awning, standard glass, 4'-5"" x 5'-3""",,,1347.76,129.51,0.0
230002,materials_glazing,placeholder,"Door, aluminum & glass, sliding patio, tempered glass, economy, 6'-0"" x 7'-0"" opening",,,10323.55,98.61,0.0
230003,materials_glazing,placeholder,"Door, aluminum & glass, sliding entrance, 5' x 7' door, electric operator, 12'-0"" x 7'-6"" opening",,,9423.3,3990.4,0.0
230004,materials_glazing,placeholder,"Door, aluminum & glass, mall front, fixed panels, aluminum finish, 48'-0"" x 9'-0"" opening",,,78012.0,2018.75,0.0
230005,materials_glazing,placeholder,"Windows, aluminum, sliding, insulated glass, 5' x 3'",,,275.76,534.85,0.0
230006,materials_glazing,placeholder,"Windows, wood, vinyl clad, casement, insulated glass, 6'-0"" x 4'-0""",,,3147.5,609.58,0.0
230007,materials_glazing,placeholder,"Windows, aluminum, awning, insulated glass, 4'-5"" x 5'-3""",,,1058.34,299.33,0.0
230008,materials_glazing,placeholder,"Windows, aluminum, double hung, insul.glass, 3'-0"" x 4'-0""",,,1129.28,349.07,0.0
120009,materials_glazing,placeholder,"Skylights, non venting, insulated, plexiglass dome with curb mount, 46"" x 46""",,,1059.0,723.85,0.0
120010,materials_glazing,placeholder,"Skylights, non venting, insulated, plexiglass dome with flush mount, 46"" x 46""",,,1827.75,217.62,0.0
120011,materials_glazing,placeholder,"Heat reflecting, solar film on glass, bronze, 20% VLT, excl. glass",,,7.47,2.11,0.0
120012,materials_glazing,placeholder,"Heat reflecting, solar film on glass, bronze, 50% VLT, excl. glass",,,0.67,27.66,0.0
120013,materials_glazing,placeholder,"Heat reflecting, solar film on glass, silver, 15% VLT, excl. glass",,,1.44,24.71,0.0
120014,materials_glazing,placeholder,"Heat reflecting, solar film on glass, silver, 35% VLT, excl. glass",,,2.54,17.53,0.0
120015,materials_glazing,placeholder,"Heat reflecting, solar film on glass, silver, 68% VLT, excl. glass",,,0.45,36.66,0.0
120016,materials_glazing,placeholder,"Heat reflecting, solar film on glass, neutral, 20% VLT, excl. glass",,,5.32,36.65,0.0
120017,materials_glazing,placeholder,"kawneer 1600 UT System 1, 1"" glass, warm edge spacer, U=1.81W/m2K",VANCOUVER,BRITISH COLUMBIA,538.41,0.0,0.0
120018,materials_glazing,placeholder,"kawneer 1600 UT System 1, triple glazed, 1"" glass, warm edge spacer, U=1.25 W/m2K",VANCOUVER,BRITISH COLUMBIA,534.86,0.0,0.0
120019,materials_glazing,placeholder,"Starline 9600 Window wall, double glazed, 1 low-e and argon illed IGU  U=1.83 W/m2K",VANCOUVER,BRITISH COLUMBIA,79.82,0.0,0.0
120020,materials_glazing,placeholder,"Starline 9600 Window wall, triple glazed, 2x low-e and argon filled IGU  U=1.01W/m2K",VANCOUVER,BRITISH COLUMBIA,525.22,0.0,0.0
120021,materials_glazing,placeholder,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, no low-e, air filled IGU, U<2.1",VANCOUVER,BRITISH COLUMBIA,124.71,0.0,0.0
120022,materials_glazing,placeholder,"Starline 7100 double glazed, 1/2"" aluminum spacer bar, 1x low-e, argon filled IGU, U=1.59 w/m2K",VANCOUVER,BRITISH COLUMBIA,213.82,0.0,0.0
120023,materials_glazing,placeholder,"Starline 7100 double glazed, 13.6mm WE Spacer, 2x low-e, argon filled IGU, U=1.25W/m2K",VANCOUVER,BRITISH COLUMBIA,201.77,0.0,0.0
120024,materials_glazing,placeholder,"wood finished look vinyl, Innotech Defender 76TS double Glazed, U=1.4W/m2K",VANCOUVER,BRITISH COLUMBIA,25.02,49.48,0.0
120025,materials_glazing,placeholder,"wood finished look vinyl, Innotech Defender 88PH Pro, triple glazed, U=0.76W/m2K",VANCOUVER,BRITISH COLUMBIA,75.45,49.07,0.0
120026,materials_glazing,placeholder,"Kawneer 451 UT System, U=1.7 W/m2K, or Alumicor FlushGlaze 3400, triple glazed U=1.53 W/m2K",VANCOUVER,BRITISH COLUMBIA,222.1,0.0,0.0
120027,materials_glazing,placeholder,"Fixed window Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K",VANCOUVER,BRITISH COLUMBIA,35.05,66.68,0.0
120028,materials_glazing,placeholder,"Fixed window Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K",VANCOUVER,BRITISH COLUMBIA,295.62,46.86,0.0
120029,materials_glazing,placeholder,"Starline 4500 T, double glazed, 1 low-e coating, argon filled IG & TGI Spacer, U=2.29W/m2K",VANCOUVER,BRITISH COLUMBIA,253.76,0.0,0.0
120030,materials_glazing,placeholder,"Reynaers Aluminum CP 155-LS, double glazed, U=1.7 W/m2K",VANCOUVER,BRITISH COLUMBIA,561.33,0.0,0.0
120031,materials_glazing,placeholder,"Reynaers Aluminum CP 155-LS, triple glazed, U=1.2 W/m2K",VANCOUVER,BRITISH COLUMBIA,655.97,0.0,0.0
120032,materials_glazing,placeholder,"Starline 9502 double glazed swing door, low-e coating, argon filled IGU, TGI Spacer, U=2.36W/m2K",VANCOUVER,BRITISH COLUMBIA,674.8,0.0,0.0
120033,materials_glazing,placeholder,"Reynaers Aluminum Masterline 8, double glazed, U=1.42 W/m2K",VANCOUVER,BRITISH COLUMBIA,931.24,0.0,0.0
120034,materials_glazing,placeholder,"Reynaers Aluminum Masterline 10, triple glazed, U=0.9 W/m2K",VANCOUVER,BRITISH COLUMBIA,341.03,0.0,0.0
120035,materials_glazing,placeholder,"Swing door Cascadia Universal Series, double glazed, 2x low-e coatings, Stainless Steel Spacer, U=1.13W/m2K",VANCOUVER,BRITISH COLUMBIA,552.71,3.03,0.0
120036,materials_glazing,placeholder,"Swing door Cascadia Universal Series, triple glazed, 3x low-e coatings, tri-seal spacer, U=0.77W/m2K",VANCOUVER,BRITISH COLUMBIA,477.15,7.94,0.0
120037,materials_glazing,placeholder,"Kawneer 2000, pressure plate glazing or SSG system, double glazed 1 low-e ",VANCOUVER,BRITISH COLUMBIA,476.27,0.0,0.0
120038,materials_glazing,placeholder,"wood finished look vinyl, Innotech Defender 76TS triple Glazed, U=0.92W/m2K",VANCOUVER,BRITISH COLUMBIA,28.94,34.66,0.0
120039,materials_glazing,placeholder,upcharge for glazing Low-e films- within IGU,VANCOUVER,BRITISH COLUMBIA,46.55,0.0,0.0
120040,materials_glazing,placeholder,upcharge for glazing Low-e films- hard coat interior pane,VANCOUVER,BRITISH COLUMBIA,2.97,0.0,0.0
