province_state,city,division,code_prefix,material,installation,total
ONTARIO,BARRIE,CONTRACTOR EQUIPMENT,01,100,100,100
ONTARIO,BARRIE,"SITE & INFRASTRUCTURE, DEMOLITION",03,100,100,100
ONTARIO,BARRIE,Concrete Forming & Accessories,05,100,100,100
ONTARIO,BARRIE,Concrete Reinforcing,06,100,100,100
ONTARIO,BARRIE,Cast-in-Place Concrete,07,100,100,100
ONTARIO,BARRIE,CONCRETE,04,100,100,100
ONTARIO,BARRIE,MASONRY,08,100,100,100
ONTARIO,BARRIE,METALS,09,100,100,100
ONTARIO,BARRIE,"WOOD, PLASTICS & COMPOSITES",10,100,100,100
ONTARIO,BARRIE,THERMAL & MOISTURE PROTECTION,11,100,100,100
ONTARIO,BARRIE,OPENINGS,12,100,100,100
ONTARIO,BARRIE,Plaster & Gypsum Board,14,100,100,100
ONTARIO,BARRIE,Ceilings & Acoustic Treatment,15,100,100,100
ONTARIO,BARRIE,Flooring,16,100,100,100
ONTARIO,BARRIE,Wall Finishes & Painting/Coating,17,100,100,100
ONTARIO,BARRIE,FINISHES,13,100,100,100
ONTARIO,BARRIE,COVERS,02,100,100,100
ONTARIO,BARRIE,"FIRE SUPPRESSION, PLUMBING & HVAC",18,100,100,100
ONTARIO,BARRIE,"ELECTRICAL, COMMUNICATIONS & UTIL.",19,100,100,100
ONTARIO,BARRIE,WEIGHTED AVERAGE,31,100,100,100
NEW BRUNSWICK,BATHURST,CONTRACTOR EQUIPMENT,01,100,100,100
NEW BRUNSWICK,BATHURST,"SITE & INFRASTRUCTURE, DEMOLITION",03,100,100,100
NEW BRUNSWICK,BATHURST,Concrete Forming & Accessories,05,100,100,100
NEW BRUNSWICK,BATHURST,Concrete Reinforcing,06,100,100,100
NEW BRUNSWICK,BATHURST,Cast-in-Place Concrete,07,100,100,100
NEW BRUNSWICK,BATHURST,CONCRETE,04,100,100,100
NEW BRUNSWICK,BATHURST,MASONRY,08,100,100,100
NEW BRUNSWICK,BATHURST,METALS,09,100,100,100
NEW BRUNSWICK,BATHURST,"WOOD, PLASTICS & COMPOSITES",10,100,100,100
NEW BRUNSWICK,BATHURST,THERMAL & MOISTURE PROTECTION,11,100,100,100
NEW BRUNSWICK,BATHURST,OPENINGS,12,100,100,100
NEW BRUNSWICK,BATHURST,Plaster & Gypsum Board,14,100,100,100
NEW BRUNSWICK,BATHURST,Ceilings & Acoustic Treatment,15,100,100,100
NEW BRUNSWICK,BATHURST,Flooring,16,100,100,100
NEW BRUNSWICK,BATHURST,Wall Finishes & Painting/Coating,17,100,100,100
NEW BRUNSWICK,BATHURST,FINISHES,13,100,100,100
NEW BRUNSWICK,BATHURST,COVERS,02,100,100,100
NEW BRUNSWICK,BATHURST,"FIRE SUPPRESSION, PLUMBING & HVAC",18,100,100,100
NEW BRUNSWICK,BATHURST,"ELECTRICAL, COMMUNICATIONS & UTIL.",19,100,100,100
NEW BRUNSWICK,BATHURST,WEIGHTED AVERAGE,31,100,100,100
MANITOBA,BRANDON,CONTRACTOR EQUIPMENT,01,100,100,100
MANITOBA,BRANDON,"SITE & INFRASTRUCTURE, DEMOLITION",03,100,100,100
MANITOBA,BRANDON,Concrete Forming & Accessories,05,100,100,100
MANITOBA,BRANDON,Concrete Reinforcing,06,100,100,100
MANITOBA,BRANDON,Cast-in-Place Concrete,07,100,100,100
MANITOBA,BRANDON,CONCRETE,04,100,100,100
MANITOBA,BRANDON,MASONRY,08,100,100,100
MANITOBA,BRANDON,METALS,09,100,100,100
MANITOBA,BRANDON,"WOOD, PLASTICS & COMPOSITES",10,100,100,100
MANITOBA,BRANDON,THERMAL & MOISTURE PROTECTION,11,100,100,100
MANITOBA,BRANDON,OPENINGS,12,100,100,100
MANITOBA,BRANDON,Plaster & Gypsum Board,14,100,100,100
MANITOBA,BRANDON,Ceilings & Acoustic Treatment,15,100,100,100
MANITOBA,BRANDON,Flooring,16,100,100,100
MANITOBA,BRANDON,Wall Finishes & Painting/Coating,17,100,100,100
MANITOBA,BRANDON,FINISHES,13,100,100,100
MANITOBA,BRANDON,COVERS,02,100,100,100
MANITOBA,BRANDON,"FIRE SUPPRESSION, PLUMBING & HVAC",18,100,100,100
MANITOBA,BRANDON,"ELECTRICAL, COMMUNICATIONS & UTIL.",19,100,100,100
MANITOBA,BRANDON,WEIGHTED AVERAGE,31,100,100,100
ONTARIO,BRANTFORD,CONTRACTOR EQUIPMENT,01,100,100,100
ONTARIO,BRANTFORD,"SITE & INFRASTRUCTURE, DEMOLITION",03,100,100,100
ONTARIO,BRANTFORD,Concrete Forming & Accessories,05,100,100,100
ONTARIO,BRANTFORD,Concrete Reinforcing,06,100,100,100
ONTARIO,BRANTFORD,Cast-in-Place Concrete,07,100,100,100
ONTARIO,BRANTFORD,CONCRETE,04,100,100,100
ONTARIO,BRANTFORD,MASONRY,08,100,100,100
ONTARIO,BRANTFORD,METALS,09,100,100,100
ONTARIO,BRANTFORD,"WOOD, PLASTICS & COMPOSITES",10,100,100,100
ONTARIO,BRANTFORD,THERMAL & MOISTURE PROTECTION,11,100,100,100
ONTARIO,BRANTFORD,OPENINGS,12,100,100,100
ONTARIO,BRANTFORD,Plaster & Gypsum Board,14,100,100,100
ONTARIO,BRANTFORD,Ceilings & Acoustic Treatment,15,100,100,100
ONTARIO,BRANTFORD,Flooring,16,100,100,100
ONTARIO,BRANTFORD,Wall Finishes & Painting/Coating,17,100,100,100
ONTARIO,BRANTFORD,FINISHES,13,100,100,100
ONTARIO,BRANTFORD,COVERS,02,100,100,100
ONTARIO,BRANTFORD,"FIRE SUPPRESSION, PLUMBING & HVAC",18,100,100,100
ONTARIO,BRANTFORD,"ELECTRICAL, COMMUNICATIONS & UTIL.",19,100,100,100
ONTARIO,BRANTFORD,WEIGHTED AVERAGE,31,100,100,100
NOVA SCOTIA,BRIDGEWATER,CONTRACTOR EQUIPMENT,01,100,100,100
NOVA SCOTIA,BRIDGEWATER,"SITE & INFRASTRUCTURE, DEMOLITION",03,100,100,100
NOVA SCOTIA,BRIDGEWATER,Concrete Forming & Accessories,05,100,100,100
NOVA SCOTIA,BRIDGEWATER,Concrete Reinforcing,06,100,100,100
NOVA SCOTIA,BRIDGEWATER,Cast-in-Place Concrete,07,100,100,100
NOVA SCOTIA,BRIDGEWATER,CONCRETE,04,100,100,100
NOVA SCOTIA,BRIDGEWATER,MASONRY,08,100,100,100
NOVA SCOTIA,BRIDGEWATER,METALS,09,100,100,100
NOVA SCOTIA,BRIDGEWATER,"WOOD, PLASTICS & COMPOSITES",10,100,100,100
NOVA SCOTIA,BRIDGEWATER,THERMAL & MOISTURE PROTECTION,11,100,100,100
NOVA SCOTIA,BRIDGEWATER,OPENINGS,12,100,100,100
NOVA SCOTIA,BRIDGEWATER,Plaster & Gypsum Board,14,100,100,100
NOVA SCOTIA,BRIDGEWATER,Ceilings & Acoustic Treatment,15,100,100,100
NOVA SCOTIA,BRIDGEWATER,Flooring,16,100,100,100
NOVA SCOTIA,BRIDGEWATER,Wall Finishes & Painting/Coating,17,100,100,100
NOVA SCOTIA,BRIDGEWATER,FINISHES,13,100,100,100
NOVA SCOTIA,BRIDGEWATER,COVERS,02,100,100,100
NOVA SCOTIA,BRIDGEWATER,"FIRE SUPPRESSION, PLUMBING & HVAC",18,100,100,100
NOVA SCOTIA,BRIDGEWATER,"ELECTRICAL, COMMUNICATIONS & UTIL.",19,100,100,100
NOVA SCOTIA,BRIDGEWATER,WEIGHTED AVERAGE,31,100,100,100
ALBERTA,CALGARY,CONTRACTOR EQUIPMENT,01,100,100,100
ALBERTA,CALGARY,"SITE & INFRASTRUCTURE, DEMOLITION",03,100,100,100
ALBERTA,CALGARY,Concrete Forming & Accessories,05,100,100,100
ALBERTA,CALGARY,Concrete Reinforcing,06,100,100,100
ALBERTA,CALGARY,Cast-in-Place Concrete,07,100,100,100
ALBERTA,CALGARY,CONCRETE,04,100,100,100
